"count","summary"
"24","Device display name: BWP-5CD450HRXW (Finnegan R) - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 5% for 15 minutes, start alerting after 10 minutes Exclude recovery volume for window device(s) Exclude removable disk fo"
"13","Device name: LIG-MAILSTORE - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 20% for 15 minutes Exclude Boot Volume Exclude recovery volume for window device(s) Exclude removable disk for window device(s) - MODERATE/MEDI"
"3","[NLTABNEAD01.nlta.local] Activity failed"
"2","MailStore Server Status Report"
"1","Device 'DEVHATEST02' is offline for 30 minutes triggering condition 'Device Down for 30 minute(s)' - MAJOR/HIGH"
"1","Device 'NLTABNEDEVSVR1' is offline for 30 minutes triggering condition 'Device Down for 30 minute(s)' - MAJOR/HIGH"
"1","Device 'DEVHATEST01' is offline for 30 minutes triggering condition 'Device Down for 30 minute(s)' - MAJOR/HIGH"
"1","Device name: NLTABNEAD02 - Device 'NLTABNEAD02' is offline for 31 minutes triggering condition 'Device Down for 30 minute(s)' - MAJOR/HIGH"
"1","Device name: DESKTOP-VNIC9AL - Memory Utilization is greater than or equal to 90% from 2026-04-04T17:33:12Z to 2026-04-04T17:47:18Z - MODERATE/MEDIUM"
"1","Device name: NLTABNEDEVSVR2 - Device 'NLTABNEDEVSVR2' is offline for 30 minutes triggering condition 'Device Down for 30 minute(s)' - MAJOR/HIGH"
"1","Device name: NLTABNEFS02 - Device 'NLTABNEFS02' is offline for 30 minutes triggering condition 'Device Down for 30 minute(s)' - MAJOR/HIGH"
"1","Quick Time - Belinda Lee - 4/6/2026 09:35"
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-05T13:25:53Z to 2026-04-05T13:25:53Z - MODERATE/MEDIUM"
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-05T14:45:04Z to 2026-04-05T14:45:04Z - MODERATE/MEDIUM"
"1","Device name: DESKTOP-VNIC9AL - Memory Utilization is greater than or equal to 90% from 2026-04-05T11:19:08Z to 2026-04-05T11:33:11Z - MODERATE/MEDIUM"
"1","Device name: KENZIELAPTOP - Software uninstalled: 'HP Wolf Security Application Support for Chrome 144.0.7559.220', Version: '4.4.29.1478', User: ' ' - MODERATE/MEDIUM"
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-05T17:03:33Z to 2026-04-05T17:03:33Z - MODERATE/MEDIUM"
"1","[TABLET-6NBHRA8U] Backup status is unknown"
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-05T15:25:13Z to 2026-04-05T15:25:13Z - MODERATE/MEDIUM"
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-05T16:23:25Z to 2026-04-05T16:23:25Z - MODERATE/MEDIUM"
"1","Device display name: NLTDEVHOST2 - Device 'NLTDEVHOST2' is offline for 30 minutes triggering condition 'Device Down for 30 minute(s)' - MAJOR/HIGH"
"1","Device name: L-5CG1474TN3 - Running Script: ActionSet for Condition : Reboot Schedule & Acknowledgement"
"1","Jenny Whitbread (Manilla) - Call drops when parking"
"1","Access to Natasha's PC while she is away"
"1","Device name: L-5CG1474TN3 - Compound condition was matched: Reboot Schedule & Acknowledgement."
"1","Device name: ASG-FS-01 - Memory Utilization is greater than or equal to 90% from 2026-04-07T02:14:31Z to 2026-04-07T02:42:33Z"
"1","Device name: ASG-FS-01 - Disk Active time for 'C:' is greater than or equal to 90% from 2026-04-07T05:35:06Z to 2026-04-07T06:34:21Z"
"1","System Daemon: 'named.service' is stopped at '2026-04-07T17:18:32' - MODERATE/MEDIUM"
"1","Device name: ASG-FS-01 - Disk Active time for 'C:' is greater than or equal to 90% from 2026-04-07T01:46:58Z to 2026-04-07T02:46:11Z"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-07T03:02:27Z to 2026-04-07T03:02:27Z - MODERATE/MEDIUM"
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-06T13:26:12Z to 2026-04-06T13:26:12Z - MODERATE/MEDIUM"
"1","[Philippa Rickards] Backup succeeded with warnings"
"1","Device name: ASG-FS-01 - Disk Active time for 'C:' is greater than or equal to 90% from 2026-04-06T04:55:48Z to 2026-04-06T05:54:57Z"
"1","Device name: KENZIELAPTOP - Patch management update FAILED to complete. ERROR: [-3005 Windows communication error, Find failed when performing missing patch search] [Windows error code: 0x8024402f, description: External cab file processing completed with"
"1","Memory added: 'Physical Memory 1', DeviceLocator: 'Controller1-ChannelA/B-DIMM0', Capacity: '17179869184', InstallDate: '2026-04-06T19:40:34Z' - MAJOR/HIGH"
"1","Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-02T15:26:22Z to 2026-04-02T15:26:22Z - MODERATE/MEDIUM"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-06T22:47:06Z to 2026-04-06T22:47:06Z - MODERATE/MEDIUM"
"1","Memory added: 'Physical Memory 0', DeviceLocator: 'Controller0-ChannelA/B-DIMM0', Capacity: '17179869184', InstallDate: '2026-04-06T19:40:34Z' - MAJOR/HIGH"
"1","Device name: NLT-PC-PF4JBSGE - Memory removed: '_system_', DeviceLocator: 'N/A', Capacity: '34016272384' - CRITICAL/HIGH"
"1","Inverell Medical Centre."
"1","Turn off all DBA access"
"1","[HLG-3020-ARCHIVE] Backup failed"
"1","Scheduled Task - stls.com.au - Offboarding: phil@stls.com.au - Reference: [ID:0076730]"
"1","title updated"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-01T03:49:23Z to 2026-04-01T03:49:23Z - MODERATE/MEDIUM"
"1","New Internet Connection"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-03-31T22:32:48Z to 2026-03-31T22:32:48Z - MODERATE/MEDIUM"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-03-30T08:11:04Z to 2026-03-30T08:11:04Z - MODERATE/MEDIUM"
"1","email not working"
"1","Software uninstalled: 'Microsoft .NET Host FX Resolver - 9.0.13 (x64)', Version: '72.52.47121', User: ' ' - MODERATE/MEDIUM"
"1","RE: NEW USER - EMAIL ONLY"
"1","ShieldTech IT Offboarding Request: Phillip Di Francesco – Effective Immediately"
"1","Software uninstalled: 'Microsoft Windows Desktop Runtime - 9.0.13 (x64)', Version: '72.52.47159', User: ' ' - MODERATE/MEDIUM"
"1","Software uninstalled: 'Microsoft .NET Runtime - 9.0.13 (x64)', Version: '72.52.47121', User: ' ' - MODERATE/MEDIUM"
"1","Device name: DESKTOP-VNIC9AL - Software uninstalled: 'Microsoft .NET Host - 10.0.3 (x64)', Version: '80.12.47319', User: ' ' - MODERATE/MEDIUM"
"1","Software uninstalled: 'Microsoft .NET Runtime - 10.0.3 (x64)', Version: '80.12.47319', User: ' ' - MODERATE/MEDIUM"
"1","Issues"
"1","Device name: ZAHEZONE_MAILST - Windows Service: 'Acronis Managed Machine Service (MMS)' is Stopped at '2026-04-02T17:52:41Z' - MODERATE/MEDIUM"
"1","Device name: NLT-MAILSTORE - Windows Service: 'Acronis Managed Machine Service (MMS)' is Stopped at '2026-04-02T18:34:02Z' - MODERATE/MEDIUM"
"1","Out of office message on phone"
"1","Adding Folders to Finder sidebar"
"1","Device name: DESKTOP-VNIC9AL - Memory Utilization is greater than or equal to 90% from 2026-04-04T15:46:48Z to 2026-04-04T16:01:51Z - MODERATE/MEDIUM"
"1","Device name: DESKTOP-VNIC9AL - Memory Utilization is greater than or equal to 90% from 2026-04-04T16:31:57Z to 2026-04-04T16:46:01Z - MODERATE/MEDIUM"
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-03T13:25:06Z to 2026-04-03T13:25:06Z - MODERATE/MEDIUM"
"1","Setup & Deployment of MDM Solution"
"1","User Updates"
"1","System Daemon: 'named.service' is stopped at '2026-04-01T17:17:38' - MODERATE/MEDIUM"
"1","System Daemon: 'named.service' is stopped at '2026-04-01T17:18:08' - MODERATE/MEDIUM"
"1","System Daemon: 'named.service' is stopped at '2026-04-01T17:16:38' - MODERATE/MEDIUM"
"1","System Daemon: 'named.service' is stopped at '2026-04-01T17:17:08' - MODERATE/MEDIUM"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-01T13:13:12Z to 2026-04-01T13:13:12Z - MODERATE/MEDIUM"
"1","Paul's Phone"
"1","Voicemail"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-01T08:43:06Z to 2026-04-01T08:43:06Z - MODERATE/MEDIUM"
"1","Device name: DESKTOP-EUQB3FN - Patch management update FAILED to complete. ERROR: [-3005 Windows communication error, Find failed when performing missing patch search] [Windows error code: 0x80244022, description: Same as HTTP status 503 - the service is"
"1","[DEV] Backup succeeded with warnings"
"1","Device name: DESKTOP-VNIC9AL - Memory Utilization is greater than or equal to 90% from 2026-04-09T17:37:24Z to 2026-04-09T17:51:27Z - MODERATE/MEDIUM"
"1","[Admin] Backup succeeded with warnings"
"1","[3CX Repository] Backup succeeded with warnings"
"1","ZaheZone - Security event detected"
"1","[Curio | John Ryan] Backup succeeded with warnings"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-09T19:23:14Z to 2026-04-09T19:23:14Z - MODERATE/MEDIUM"
"1","Device name: DESKTOP-VNIC9AL - Memory Utilization is greater than or equal to 90% from 2026-04-09T20:37:53Z to 2026-04-09T20:51:57Z - MODERATE/MEDIUM"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-09T15:07:01Z to 2026-04-09T15:07:01Z - MODERATE/MEDIUM"
"1","[Wire-Not Electrical Shared Drive] Backup succeeded with warnings"
"1","[RFP] Backup succeeded with warnings"
"1","Please install Adobe Creative Cloud on my computer. It is in dowloads already"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-09T10:50:31Z to 2026-04-09T10:50:31Z - MODERATE/MEDIUM"
"1","[ShieldTech Management] Backup succeeded with warnings"
"1","[CON] Backup succeeded with warnings"
"1","[Marketing] Backup succeeded with warnings"
"1","[Management] Backup succeeded with warnings"
"1","Device display name: BWPSSD-5CD0151X (Phil B) - Running Script: ActionSet for Condition : Disk Free Space is less than or equal to 10% for 15 minutes, start alerting after 10 minutes - MODERATE/MEDIUM"
"1","Memory added: 'Physical Memory 1', DeviceLocator: 'Controller0-ChannelA-DIMM1', Capacity: '8589934592', InstallDate: '2026-04-12T18:31:19Z' - MAJOR/HIGH"
"1","Memory added: 'Physical Memory 3', DeviceLocator: 'Controller1-ChannelB-DIMM1', Capacity: '8589934592', InstallDate: '2026-04-12T18:31:19Z' - MAJOR/HIGH"
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T16:20:01Z to 2026-04-12T16:20:01Z - MODERATE/MEDIUM"
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T17:00:08Z to 2026-04-12T17:00:08Z - MODERATE/MEDIUM"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-12T22:55:59Z to 2026-04-12T22:55:59Z - MODERATE/MEDIUM"
"1","[NLT-PC-PW0GT345.nlta.local] Backup status is unknown"
"1","Device display name: NLT-PC-GM028TTZ (Chris J) - Memory removed: '_system_', DeviceLocator: 'N/A', Capacity: '16839020544' - CRITICAL/HIGH"
"1","Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-12T21:17:33Z to 2026-04-12T21:17:33Z - MODERATE/MEDIUM"
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T15:20:51Z to 2026-04-12T15:20:51Z - MODERATE/MEDIUM"
"1","Alert - silverstonedevelopments.onmicrosoft.com - AllTenants: Alert on expiring application secrets"
"1","Your weekly PIM digest for Wire-Not Electrical Pty Ltd (ID: 5f24a087-fbad-4ed0-8f57-88325beb1fe8)"
"1","Device display name: BWPSSD-5CD0151X (Phil B) - Disk Volume Free space for 'C:' is less than or equal to 10% from 2026-04-10T20:34:19Z to 2026-04-10T20:34:19Z - MODERATE/MEDIUM"
"1","Device name: NLTABNEAD01 - Windows Service: 'Acronis Managed Machine Service (MMS)' is Stopped at '2026-04-10T21:28:45Z' - MODERATE/MEDIUM"
"1","Login details for Google Workspace"
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T14:40:45Z to 2026-04-12T14:40:45Z - MODERATE/MEDIUM"
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T12:46:26Z to 2026-04-12T12:46:26Z - MODERATE/MEDIUM"
"1","Device name: LIG-MAILSTORE - Disk Volume Free space for 'D:' is less than or equal to 20% from 2026-04-12T13:25:33Z to 2026-04-12T13:25:33Z - MODERATE/MEDIUM"
"1","Memory removed: '_system_', DeviceLocator: 'N/A', Capacity: '34016727040' - CRITICAL/HIGH"
"1","Device display name: NLT-PC-PF4TT5W7 (Ben T) - Memory added: 'Physical Memory 0', DeviceLocator: 'Controller0-ChannelA', Capacity: '17179869184', InstallDate: '2026-04-07T23:40:04Z' - MAJOR/HIGH"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-07T22:18:29Z to 2026-04-07T22:18:29Z - MODERATE/MEDIUM"
"1","Memory added: 'Physical Memory 1', DeviceLocator: 'Controller1-ChannelA/B-DIMM0', Capacity: '17179869184', InstallDate: '2026-04-07T23:40:04Z' - MAJOR/HIGH"
"1","file link is getting blocked with https://northonline.amp.com.au/"
"1","FW: Authorise install"
"1","Client Report Generation for March"
"1","UniFi Site Migrations"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-07T20:30:03Z to 2026-04-07T20:30:03Z - MODERATE/MEDIUM"
"1","Device display name: BWP-5CD450HRXW (Finnegan R) - Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-07T11:57:40Z to 2026-04-07T11:57:40Z - MODERATE/MEDIUM"
"1","[HLG-CORE.hlg.local] Backup failed"
"1","Disk Volume Free space for 'C:' is less than or equal to 5% from 2026-04-07T07:42:09Z to 2026-04-07T07:42:09Z - MODERATE/MEDIUM"
"1","[Congdon Fuzi] 3CX Alert: IP 87.237.52.2 has been blacklisted on PBX - congdonfuzi.3cx.com.au"
"1","Memory added: 'Physical Memory 0', DeviceLocator: 'Controller0-ChannelA-DIMM0', Capacity: '8589934592', InstallDate: '2026-04-07T20:04:23Z' - MAJOR/HIGH"
